sizes_knn_rtree,times_knn_rtree
1000,0.0030002593994140625
34516,0.004010915756225586
68033,0.0070002079010009766
101550,0.008982658386230469
135067,0.010517358779907227
168584,0.012805461883544922
202101,0.014525413513183594
235618,0.017125368118286133
269135,0.01758432388305664
302652,0.0181424617767334
