sizes_knn_seq_ran,times_knn_seq_ran
1000,0.0693202018737793
34516,0.14795947074890137
68033,0.44098448753356934
101550,0.5919778347015381
135067,0.7777912616729736
168584,1.2841930389404297
202101,1.0417265892028809
235618,1.6774897575378418
269135,1.0766398906707764
302652,1.568742275238037
