sizes_knn_ivf,times_knn_ivf
1000,0.0247499942779541
34516,0.08800005912780762
68033,0.1550002098083496
101550,0.23613858222961426
135067,0.31100988388061523
168584,0.38381314277648926
202101,0.4919600486755371
235618,0.5680005550384521
269135,0.6489999294281006
302652,0.7298159599304199
