sizes_knn_seq,times_knn_seq
1000,0.016999483108520508
34516,0.02899956703186035
68033,0.039000511169433594
101550,0.06099367141723633
135067,0.07299971580505371
168584,0.07800006866455078
202101,0.08999943733215332
235618,0.09500002861022949
269135,0.1080009937286377
302652,0.11799979209899902
