sizes_knn_lsh,times_knn_lsh
1000,0.0010006427764892578
34516,0.0009996891021728516
68033,0.006997346878051758
101550,0.0015811920166015625
135067,0.004001617431640625
168584,0.0020003318786621094
202101,0.0020003318786621094
235618,0.0015418529510498047
269135,0.0010006427764892578
302652,0.0009996891021728516
